POJO.Pokemon{id=1, name='Bulbasaur', total='318', hp='45', attack='49', defence='49', spAtk='65', spDef='65', speed='45', type='Grass Poison'}
POJO.Pokemon{id=15, name='Beedrill', total='395', hp='65', attack='90', defence='40', spAtk='45', spDef='80', speed='75', type='Bug Poison'}
POJO.Pokemon{id=15, name='Beedrill', total='495', hp='65', attack='15', defence=' 4', spAtk=' 1', spDef=' 8', speed=' 145', type='Bug Poison'}
POJO.Pokemon{id=16, name='Pidgey', total='251', hp='40', attack='45', defence='40', spAtk='35', spDef='35', speed='56', type='Normal Flying'}
POJO.Pokemon{id=17, name='Pidgeotto', total='349', hp='63', attack='60', defence='55', spAtk='50', spDef='50', speed='71', type='Normal Flying'}
POJO.Pokemon{id=18, name='Pidgeot', total='479', hp='83', attack='80', defence='75', spAtk='70', spDef='70', speed='101', type='Normal Flying'}
POJO.Pokemon{id=18, name='Pidgeot', total='579', hp='83', attack='80', defence='80', spAtk='13', spDef=' 8', speed=' 121', type='Normal Flying'}
POJO.Pokemon{id=19, name='Rattata', total='253', hp='30', attack='56', defence='35', spAtk='25', spDef='35', speed='72', type='Normal'}
POJO.Pokemon{id=19, name='Rattata', total='253', hp='30', attack='56', defence='35', spAtk='25', spDef='35', speed='72', type='Dark Normal'}
POJO.Pokemon{id=20, name='Raticate', total='413', hp='55', attack='81', defence='60', spAtk='50', spDef='70', speed='97', type='Normal'}
POJO.Pokemon{id=20, name='Raticate', total='413', hp='75', attack='71', defence='70', spAtk='40', spDef='80', speed='77', type='Dark Normal'}
POJO.Pokemon{id=21, name='Spearow', total='262', hp='40', attack='60', defence='30', spAtk='31', spDef='31', speed='70', type='Normal Flying'}
POJO.Pokemon{id=22, name='Fearow', total='442', hp='65', attack='90', defence='65', spAtk='61', spDef='61', speed='100', type='Normal Flying'}
POJO.Pokemon{id=23, name='Ekans', total='288', hp='35', attack='60', defence='44', spAtk='40', spDef='54', speed='55', type='Poison'}
POJO.Pokemon{id=24, name='Arbok', total='448', hp='60', attack='95', defence='69', spAtk='65', spDef='79', speed='80', type='Poison'}
POJO.Pokemon{id=25, name='Pikachu', total='320', hp='35', attack='55', defence='40', spAtk='50', spDef='50', speed='90', type='Electric'}
POJO.Pokemon{id=25, name='Pikachu', total='430', hp='45', attack='80', defence='50', spAtk='75', spDef='60', speed='120', type='Electric'}
POJO.Pokemon{id=26, name='Raichu', total='485', hp='60', attack='90', defence='55', spAtk='90', spDef='80', speed='110', type='Electric'}
POJO.Pokemon{id=26, name='Raichu', total='485', hp='60', attack='85', defence='50', spAtk='95', spDef='85', speed='110', type='Electric Psychic'}
POJO.Pokemon{id=27, name='Sandshrew', total='300', hp='50', attack='75', defence='85', spAtk='20', spDef='30', speed='40', type='Ground'}
POJO.Pokemon{id=27, name='Sandshrew', total='300', hp='50', attack='75', defence='90', spAtk='10', spDef='35', speed='40', type='Ice Steel'}
POJO.Pokemon{id=28, name='Sandslash', total='450', hp='75', attack='10', defence=' 1', spAtk='0 ', spDef='5 ', speed='5 65', type='Ground'}
POJO.Pokemon{id=28, name='Sandslash', total='450', hp='75', attack='10', defence=' 1', spAtk='0 ', spDef='5 ', speed='5 65', type='Ice Steel'}
POJO.Pokemon{id=29, name='Nidoran♀', total='275', hp='55', attack='47', defence='52', spAtk='40', spDef='40', speed='41', type='Poison'}
POJO.Pokemon{id=30, name='Nidorina', total='365', hp='70', attack='62', defence='67', spAtk='55', spDef='55', speed='56', type='Poison'}
POJO.Pokemon{id=31, name='Nidoqueen', total='505', hp='90', attack='92', defence='87', spAtk='75', spDef='85', speed='76', type='Poison Ground'}
POJO.Pokemon{id=32, name='Nidoran♂', total='273', hp='46', attack='57', defence='40', spAtk='40', spDef='40', speed='50', type='Poison'}
POJO.Pokemon{id=33, name='Nidorino', total='365', hp='61', attack='72', defence='57', spAtk='55', spDef='55', speed='65', type='Poison'}
POJO.Pokemon{id=34, name='Nidoking', total='505', hp='81', attack='10', defence=' 7', spAtk=' 8', spDef=' 7', speed=' 85', type='Poison Ground'}
POJO.Pokemon{id=35, name='Clefairy', total='323', hp='70', attack='45', defence='48', spAtk='60', spDef='65', speed='35', type='Fairy'}
POJO.Pokemon{id=36, name='Clefable', total='483', hp='95', attack='70', defence='73', spAtk='95', spDef='90', speed='60', type='Fairy'}
POJO.Pokemon{id=37, name='Vulpix', total='299', hp='38', attack='41', defence='40', spAtk='50', spDef='65', speed='65', type='Fire'}
POJO.Pokemon{id=37, name='Vulpix', total='299', hp='38', attack='41', defence='40', spAtk='50', spDef='65', speed='65', type='Ice'}
POJO.Pokemon{id=38, name='Ninetales', total='505', hp='73', attack='76', defence='75', spAtk='81', spDef='10', speed=' 100', type='Fire'}
POJO.Pokemon{id=38, name='Ninetales', total='505', hp='73', attack='67', defence='75', spAtk='81', spDef='10', speed=' 109', type='Ice Fairy'}
POJO.Pokemon{id=39, name='Jigglypuff', total='270', hp='11', attack=' 4', defence=' 2', spAtk=' 4', spDef=' 2', speed=' 20', type='Normal Fairy'}
POJO.Pokemon{id=40, name='Wigglytuff', total='435', hp='14', attack=' 7', defence=' 4', spAtk=' 8', spDef=' 5', speed=' 45', type='Normal Fairy'}
POJO.Pokemon{id=41, name='Zubat', total='245', hp='40', attack='45', defence='35', spAtk='30', spDef='40', speed='55', type='Poison Flying'}
POJO.Pokemon{id=42, name='Golbat', total='455', hp='75', attack='80', defence='70', spAtk='65', spDef='75', speed='90', type='Poison Flying'}
POJO.Pokemon{id=43, name='Oddish', total='320', hp='45', attack='50', defence='55', spAtk='75', spDef='65', speed='30', type='Grass Poison'}
POJO.Pokemon{id=44, name='Gloom', total='395', hp='60', attack='65', defence='70', spAtk='85', spDef='75', speed='40', type='Grass Poison'}
POJO.Pokemon{id=45, name='Vileplume', total='490', hp='75', attack='80', defence='85', spAtk='11', spDef=' 9', speed=' 50', type='Grass Poison'}
POJO.Pokemon{id=46, name='Paras', total='285', hp='35', attack='70', defence='55', spAtk='45', spDef='55', speed='25', type='Bug Grass'}
POJO.Pokemon{id=47, name='Parasect', total='405', hp='60', attack='95', defence='80', spAtk='60', spDef='80', speed='30', type='Bug Grass'}
POJO.Pokemon{id=48, name='Venonat', total='305', hp='60', attack='55', defence='50', spAtk='40', spDef='55', speed='45', type='Bug Poison'}
POJO.Pokemon{id=49, name='Venomoth', total='450', hp='70', attack='65', defence='60', spAtk='90', spDef='75', speed='90', type='Bug Poison'}
POJO.Pokemon{id=50, name='Diglett', total='265', hp='10', attack='55', defence='25', spAtk='35', spDef='45', speed='95', type='Ground'}
POJO.Pokemon{id=50, name='Diglett', total='265', hp='10', attack='55', defence='30', spAtk='35', spDef='45', speed='90', type='Ground Steel'}
POJO.Pokemon{id=51, name='Dugtrio', total='425', hp='35', attack='10', defence=' 5', spAtk=' 5', spDef=' 7', speed=' 120', type='Ground'}
POJO.Pokemon{id=51, name='Dugtrio', total='425', hp='35', attack='10', defence=' 6', spAtk=' 5', spDef=' 7', speed=' 110', type='Ground Steel'}
POJO.Pokemon{id=52, name='Meowth', total='290', hp='40', attack='45', defence='35', spAtk='40', spDef='40', speed='90', type='Normal'}
POJO.Pokemon{id=52, name='Meowth', total='290', hp='40', attack='35', defence='35', spAtk='50', spDef='40', speed='90', type='Dark'}
POJO.Pokemon{id=52, name='Meowth', total='290', hp='50', attack='65', defence='55', spAtk='40', spDef='40', speed='40', type='Steel'}
POJO.Pokemon{id=53, name='Persian', total='440', hp='65', attack='70', defence='60', spAtk='65', spDef='65', speed='115', type='Normal'}
POJO.Pokemon{id=53, name='Persian', total='440', hp='65', attack='60', defence='60', spAtk='75', spDef='65', speed='115', type='Dark'}
POJO.Pokemon{id=54, name='Psyduck', total='320', hp='50', attack='52', defence='48', spAtk='65', spDef='50', speed='55', type='Water'}
POJO.Pokemon{id=55, name='Golduck', total='500', hp='80', attack='82', defence='78', spAtk='95', spDef='80', speed='85', type='Water'}
POJO.Pokemon{id=56, name='Mankey', total='305', hp='40', attack='80', defence='35', spAtk='35', spDef='45', speed='70', type='Fighting'}
POJO.Pokemon{id=57, name='Primeape', total='455', hp='65', attack='10', defence=' 6', spAtk=' 6', spDef=' 7', speed=' 95', type='Fighting'}
POJO.Pokemon{id=58, name='Growlithe', total='350', hp='55', attack='70', defence='45', spAtk='70', spDef='50', speed='60', type='Fire'}
POJO.Pokemon{id=59, name='Arcanine', total='555', hp='90', attack='11', defence=' 8', spAtk=' 1', spDef='0 ', speed='0 95', type='Fire'}
POJO.Pokemon{id=60, name='Poliwag', total='300', hp='40', attack='50', defence='40', spAtk='40', spDef='40', speed='90', type='Water'}
POJO.Pokemon{id=61, name='Poliwhirl', total='385', hp='65', attack='65', defence='65', spAtk='50', spDef='50', speed='90', type='Water'}
POJO.Pokemon{id=62, name='Poliwrath', total='510', hp='90', attack='95', defence='95', spAtk='70', spDef='90', speed='70', type='Water Fighting'}
POJO.Pokemon{id=63, name='Abra', total='310', hp='25', attack='20', defence='15', spAtk='10', spDef=' 5', speed=' 90', type='Psychic'}
POJO.Pokemon{id=64, name='Kadabra', total='400', hp='40', attack='35', defence='30', spAtk='12', spDef=' 7', speed=' 105', type='Psychic'}
POJO.Pokemon{id=65, name='Alakazam', total='500', hp='55', attack='50', defence='45', spAtk='13', spDef=' 9', speed=' 120', type='Psychic'}
POJO.Pokemon{id=65, name='Alakazam', total='600', hp='55', attack='50', defence='65', spAtk='17', spDef=' 1', speed='5 150', type='Psychic'}
POJO.Pokemon{id=66, name='Machop', total='305', hp='70', attack='80', defence='50', spAtk='35', spDef='35', speed='35', type='Fighting'}
POJO.Pokemon{id=67, name='Machoke', total='405', hp='80', attack='10', defence=' 7', spAtk=' 5', spDef=' 6', speed=' 45', type='Fighting'}
POJO.Pokemon{id=68, name='Machamp', total='505', hp='90', attack='13', defence=' 8', spAtk=' 6', spDef=' 8', speed=' 55', type='Fighting'}
POJO.Pokemon{id=69, name='Bellsprout', total='300', hp='50', attack='75', defence='35', spAtk='70', spDef='30', speed='40', type='Grass Poison'}
POJO.Pokemon{id=70, name='Weepinbell', total='390', hp='65', attack='90', defence='50', spAtk='85', spDef='45', speed='55', type='Grass Poison'}
POJO.Pokemon{id=71, name='Victreebel', total='490', hp='80', attack='10', defence=' 6', spAtk=' 1', spDef='0 ', speed='0 70', type='Grass Poison'}
POJO.Pokemon{id=72, name='Tentacool', total='335', hp='40', attack='40', defence='35', spAtk='50', spDef='10', speed=' 70', type='Water Poison'}
POJO.Pokemon{id=73, name='Tentacruel', total='515', hp='80', attack='70', defence='65', spAtk='80', spDef='12', speed=' 100', type='Water Poison'}
POJO.Pokemon{id=74, name='Geodude', total='300', hp='40', attack='80', defence='10', spAtk=' 3', spDef=' 3', speed=' 20', type='Rock Ground'}
POJO.Pokemon{id=74, name='Geodude', total='300', hp='40', attack='80', defence='10', spAtk=' 3', spDef=' 3', speed=' 20', type='Rock Electric'}
POJO.Pokemon{id=75, name='Graveler', total='390', hp='55', attack='95', defence='11', spAtk=' 4', spDef=' 4', speed=' 35', type='Rock Ground'}
POJO.Pokemon{id=75, name='Graveler', total='390', hp='55', attack='95', defence='11', spAtk=' 4', spDef=' 4', speed=' 35', type='Rock Electric'}
POJO.Pokemon{id=76, name='Golem', total='495', hp='80', attack='12', defence=' 1', spAtk='0 ', spDef='5 ', speed='5 45', type='Rock Ground'}
POJO.Pokemon{id=76, name='Golem', total='495', hp='80', attack='12', defence=' 1', spAtk='0 ', spDef='5 ', speed='5 45', type='Rock Electric'}
POJO.Pokemon{id=77, name='Ponyta', total='410', hp='50', attack='85', defence='55', spAtk='65', spDef='65', speed='90', type='Fire'}
POJO.Pokemon{id=77, name='Ponyta', total='410', hp='50', attack='85', defence='55', spAtk='65', spDef='65', speed='90', type='Psychic'}
POJO.Pokemon{id=78, name='Rapidash', total='500', hp='65', attack='10', defence=' 7', spAtk=' 8', spDef=' 8', speed=' 105', type='Fire'}
POJO.Pokemon{id=78, name='Rapidash', total='500', hp='65', attack='10', defence=' 7', spAtk=' 8', spDef=' 8', speed=' 105', type='Psychic Fairy'}
POJO.Pokemon{id=79, name='Slowpoke', total='315', hp='90', attack='65', defence='65', spAtk='40', spDef='40', speed='15', type='Water Psychic'}
POJO.Pokemon{id=79, name='Slowpoke', total='315', hp='90', attack='65', defence='65', spAtk='40', spDef='40', speed='15', type='Psychic'}
POJO.Pokemon{id=80, name='Slowbro', total='490', hp='95', attack='75', defence='11', spAtk=' 1', spDef='0 ', speed='0 30', type='Water Psychic'}
POJO.Pokemon{id=80, name='Slowbro', total='590', hp='95', attack='75', defence='18', spAtk=' 1', spDef='0 ', speed='0 30', type='Water Psychic'}
POJO.Pokemon{id=80, name='Slowbro', total='490', hp='95', attack='10', defence=' 9', spAtk=' 1', spDef='0 ', speed='0 30', type='Poison Psychic'}
POJO.Pokemon{id=81, name='Magnemite', total='325', hp='25', attack='35', defence='70', spAtk='95', spDef='55', speed='45', type='Electric Steel'}
POJO.Pokemon{id=82, name='Magneton', total='465', hp='50', attack='60', defence='95', spAtk='12', spDef=' 7', speed=' 70', type='Electric Steel'}
POJO.Pokemon{id=83, name='Farfetch'd', total='377', hp='52', attack='90', defence='55', spAtk='58', spDef='62', speed='60', type='Normal Flying'}
POJO.Pokemon{id=83, name='Farfetch'd', total='377', hp='52', attack='95', defence='55', spAtk='58', spDef='62', speed='55', type='Fighting'}
POJO.Pokemon{id=84, name='Doduo', total='310', hp='35', attack='85', defence='45', spAtk='35', spDef='35', speed='75', type='Normal Flying'}
POJO.Pokemon{id=85, name='Dodrio', total='470', hp='60', attack='11', defence=' 7', spAtk=' 6', spDef=' 6', speed=' 110', type='Normal Flying'}
POJO.Pokemon{id=86, name='Seel', total='325', hp='65', attack='45', defence='55', spAtk='45', spDef='70', speed='45', type='Water'}
POJO.Pokemon{id=87, name='Dewgong', total='475', hp='90', attack='70', defence='80', spAtk='70', spDef='95', speed='70', type='Water Ice'}
POJO.Pokemon{id=88, name='Grimer', total='325', hp='80', attack='80', defence='50', spAtk='40', spDef='50', speed='25', type='Poison'}
POJO.Pokemon{id=88, name='Grimer', total='325', hp='80', attack='80', defence='50', spAtk='40', spDef='50', speed='25', type='Poison Dark'}
POJO.Pokemon{id=89, name='Muk', total='500', hp='10', attack=' 1', defence='5 ', spAtk='5 ', spDef='5 ', speed='00 50', type='Poison'}
POJO.Pokemon{id=89, name='Muk', total='500', hp='10', attack=' 1', defence='5 ', spAtk='5 ', spDef='5 ', speed='00 50', type='Poison Dark'}
POJO.Pokemon{id=90, name='Shellder', total='305', hp='30', attack='65', defence='10', spAtk=' 4', spDef=' 2', speed=' 40', type='Water'}
POJO.Pokemon{id=91, name='Cloyster', total='525', hp='50', attack='95', defence='18', spAtk=' 8', spDef=' 4', speed=' 70', type='Water Ice'}
POJO.Pokemon{id=92, name='Gastly', total='310', hp='30', attack='35', defence='30', spAtk='10', spDef=' 3', speed=' 80', type='Ghost Poison'}
POJO.Pokemon{id=93, name='Haunter', total='405', hp='45', attack='50', defence='45', spAtk='11', spDef=' 5', speed=' 95', type='Ghost Poison'}
POJO.Pokemon{id=94, name='Gengar', total='500', hp='60', attack='65', defence='60', spAtk='13', spDef=' 7', speed=' 110', type='Ghost Poison'}
POJO.Pokemon{id=94, name='Gengar', total='600', hp='60', attack='65', defence='80', spAtk='17', spDef=' 9', speed=' 130', type='Ghost Poison'}
POJO.Pokemon{id=95, name='Onix', total='385', hp='35', attack='45', defence='16', spAtk=' 3', spDef=' 4', speed=' 70', type='Rock Ground'}
POJO.Pokemon{id=96, name='Drowzee', total='328', hp='60', attack='48', defence='45', spAtk='43', spDef='90', speed='42', type='Psychic'}
POJO.Pokemon{id=97, name='Hypno', total='483', hp='85', attack='73', defence='70', spAtk='73', spDef='11', speed=' 67', type='Psychic'}
POJO.Pokemon{id=98, name='Krabby', total='325', hp='30', attack='10', defence=' 9', spAtk=' 2', spDef=' 2', speed=' 50', type='Water'}
POJO.Pokemon{id=99, name='Kingler', total='475', hp='55', attack='13', defence=' 1', spAtk='5 ', spDef='0 ', speed='0 75', type='Water'}
POJO.Pokemon{id=100, name='Voltorb', total='330', hp='40', attack='30', defence='50', spAtk='55', spDef='55', speed='100', type='Electric'}
POJO.Pokemon{id=101, name='Electrode', total='490', hp='60', attack='50', defence='70', spAtk='80', spDef='80', speed='150', type='Electric'}
POJO.Pokemon{id=102, name='Exeggcute', total='325', hp='60', attack='40', defence='80', spAtk='60', spDef='45', speed='40', type='Grass Psychic'}
POJO.Pokemon{id=103, name='Exeggutor', total='530', hp='95', attack='95', defence='85', spAtk='12', spDef=' 7', speed=' 55', type='Grass Psychic'}
POJO.Pokemon{id=103, name='Exeggutor', total='530', hp='95', attack='10', defence=' 8', spAtk=' 1', spDef='5 ', speed='5 45', type='Grass Dragon'}
POJO.Pokemon{id=104, name='Cubone', total='320', hp='50', attack='50', defence='95', spAtk='40', spDef='50', speed='35', type='Ground'}
POJO.Pokemon{id=105, name='Marowak', total='425', hp='60', attack='80', defence='11', spAtk=' 5', spDef=' 8', speed=' 45', type='Ground'}
POJO.Pokemon{id=105, name='Marowak', total='425', hp='60', attack='80', defence='11', spAtk=' 5', spDef=' 8', speed=' 45', type='Fire Ghost'}
POJO.Pokemon{id=106, name='Hitmonlee', total='455', hp='50', attack='12', defence=' 5', spAtk=' 3', spDef=' 1', speed='0 87', type='Fighting'}
POJO.Pokemon{id=107, name='Hitmonchan', total='455', hp='50', attack='10', defence=' 7', spAtk=' 3', spDef=' 1', speed='0 76', type='Fighting'}
POJO.Pokemon{id=108, name='Lickitung', total='385', hp='90', attack='55', defence='75', spAtk='60', spDef='75', speed='30', type='Normal'}
POJO.Pokemon{id=109, name='Koffing', total='340', hp='40', attack='65', defence='95', spAtk='60', spDef='45', speed='35', type='Poison'}
POJO.Pokemon{id=110, name='Weezing', total='490', hp='65', attack='90', defence='12', spAtk=' 8', spDef=' 7', speed=' 60', type='Poison'}
POJO.Pokemon{id=110, name='Weezing', total='490', hp='65', attack='90', defence='12', spAtk=' 8', spDef=' 7', speed=' 60', type='Poison Fairy'}
POJO.Pokemon{id=111, name='Rhyhorn', total='345', hp='80', attack='85', defence='95', spAtk='30', spDef='30', speed='25', type='Ground Rock'}
POJO.Pokemon{id=112, name='Rhydon', total='485', hp='10', attack=' 1', defence='0 ', spAtk='20', spDef='45', speed='45 40', type='Ground Rock'}
POJO.Pokemon{id=113, name='Chansey', total='450', hp='25', attack=' 5', defence='5 ', spAtk='5 ', spDef='05', speed='50', type='Normal'}
POJO.Pokemon{id=114, name='Tangela', total='435', hp='65', attack='55', defence='11', spAtk=' 1', spDef='0 ', speed='0 60', type='Grass'}
POJO.Pokemon{id=115, name='Kangaskhan', total='490', hp='10', attack=' 9', defence=' 8', spAtk=' 4', spDef=' 8', speed=' 90', type='Normal'}
POJO.Pokemon{id=115, name='Kangaskhan', total='590', hp='10', attack=' 1', defence='5 ', spAtk='00', spDef='60', speed='100 100', type='Normal'}
POJO.Pokemon{id=116, name='Horsea', total='295', hp='30', attack='40', defence='70', spAtk='70', spDef='25', speed='60', type='Water'}
POJO.Pokemon{id=117, name='Seadra', total='440', hp='55', attack='65', defence='95', spAtk='95', spDef='45', speed='85', type='Water'}
POJO.Pokemon{id=118, name='Goldeen', total='320', hp='45', attack='67', defence='60', spAtk='35', spDef='50', speed='63', type='Water'}
POJO.Pokemon{id=119, name='Seaking', total='450', hp='80', attack='92', defence='65', spAtk='65', spDef='80', speed='68', type='Water'}
POJO.Pokemon{id=120, name='Staryu', total='340', hp='30', attack='45', defence='55', spAtk='70', spDef='55', speed='85', type='Water'}
POJO.Pokemon{id=121, name='Starmie', total='520', hp='60', attack='75', defence='85', spAtk='10', spDef=' 8', speed=' 115', type='Water Psychic'}
POJO.Pokemon{id=122, name='Mr. Mime', total='460', hp='40', attack='45', defence='65', spAtk='10', spDef=' 1', speed='0 90', type='Psychic Fairy'}
POJO.Pokemon{id=122, name='Mr. Mime', total='460', hp='50', attack='65', defence='65', spAtk='90', spDef='90', speed='100', type='Ice Psychic'}
POJO.Pokemon{id=123, name='Scyther', total='500', hp='70', attack='11', defence=' 8', spAtk=' 5', spDef=' 8', speed=' 105', type='Bug Flying'}
POJO.Pokemon{id=124, name='Jynx', total='455', hp='65', attack='50', defence='35', spAtk='11', spDef=' 9', speed=' 95', type='Ice Psychic'}
POJO.Pokemon{id=125, name='Electabuzz', total='490', hp='65', attack='83', defence='57', spAtk='95', spDef='85', speed='105', type='Electric'}
POJO.Pokemon{id=126, name='Magmar', total='495', hp='65', attack='95', defence='57', spAtk='10', spDef=' 8', speed=' 93', type='Fire'}
POJO.Pokemon{id=127, name='Pinsir', total='500', hp='65', attack='12', defence=' 1', spAtk='0 ', spDef='5 ', speed='0 85', type='Bug'}
POJO.Pokemon{id=127, name='Pinsir', total='600', hp='65', attack='15', defence=' 1', spAtk='0 ', spDef='5 ', speed='0 105', type='Bug Flying'}
POJO.Pokemon{id=128, name='Tauros', total='490', hp='75', attack='10', defence=' 9', spAtk=' 4', spDef=' 7', speed=' 110', type='Normal'}
POJO.Pokemon{id=129, name='Magikarp', total='200', hp='20', attack='10', defence='55', spAtk='15', spDef='20', speed='80', type='Water'}
POJO.Pokemon{id=130, name='Gyarados', total='540', hp='95', attack='12', defence=' 7', spAtk=' 6', spDef=' 1', speed='0 81', type='Water Flying'}
POJO.Pokemon{id=130, name='Gyarados', total='640', hp='95', attack='15', defence=' 1', spAtk='9 ', spDef='0 ', speed='30 81', type='Water Dark'}
POJO.Pokemon{id=131, name='Lapras', total='535', hp='13', attack=' 8', defence=' 8', spAtk=' 8', spDef=' 9', speed=' 60', type='Water Ice'}
POJO.Pokemon{id=132, name='Ditto', total='288', hp='48', attack='48', defence='48', spAtk='48', spDef='48', speed='48', type='Normal'}
POJO.Pokemon{id=133, name='Eevee', total='325', hp='55', attack='55', defence='50', spAtk='45', spDef='65', speed='55', type='Normal'}
POJO.Pokemon{id=133, name='Eevee', total='435', hp='65', attack='75', defence='70', spAtk='65', spDef='85', speed='75', type='Normal'}
POJO.Pokemon{id=134, name='Vaporeon', total='525', hp='13', attack=' 6', defence=' 6', spAtk=' 1', spDef='0 ', speed='5 65', type='Water'}
POJO.Pokemon{id=135, name='Jolteon', total='525', hp='65', attack='65', defence='60', spAtk='11', spDef=' 9', speed=' 130', type='Electric'}
POJO.Pokemon{id=136, name='Flareon', total='525', hp='65', attack='13', defence=' 6', spAtk=' 9', spDef=' 1', speed='0 65', type='Fire'}
POJO.Pokemon{id=137, name='Porygon', total='395', hp='65', attack='60', defence='70', spAtk='85', spDef='75', speed='40', type='Normal'}
POJO.Pokemon{id=138, name='Omanyte', total='355', hp='35', attack='40', defence='10', spAtk=' 9', spDef=' 5', speed=' 35', type='Rock Water'}
POJO.Pokemon{id=139, name='Omastar', total='495', hp='70', attack='60', defence='12', spAtk=' 1', spDef='5 ', speed='0 55', type='Rock Water'}
POJO.Pokemon{id=140, name='Kabuto', total='355', hp='30', attack='80', defence='90', spAtk='55', spDef='45', speed='55', type='Rock Water'}
POJO.Pokemon{id=141, name='Kabutops', total='495', hp='60', attack='11', defence=' 1', spAtk='5 ', spDef='5 ', speed='0 80', type='Rock Water'}
POJO.Pokemon{id=142, name='Aerodactyl', total='515', hp='80', attack='10', defence=' 6', spAtk=' 6', spDef=' 7', speed=' 130', type='Rock Flying'}
POJO.Pokemon{id=142, name='Aerodactyl', total='615', hp='80', attack='13', defence=' 8', spAtk=' 7', spDef=' 9', speed=' 150', type='Rock Flying'}
POJO.Pokemon{id=143, name='Snorlax', total='540', hp='16', attack=' 1', defence='0 ', spAtk='5 ', spDef='5 ', speed='10 30', type='Normal'}
POJO.Pokemon{id=144, name='Articuno', total='580', hp='90', attack='85', defence='10', spAtk=' 9', spDef=' 1', speed='5 85', type='Ice Flying'}
POJO.Pokemon{id=144, name='Articuno', total='580', hp='90', attack='85', defence='85', spAtk='12', spDef=' 1', speed='0 95', type='Psychic Flying'}
POJO.Pokemon{id=145, name='Zapdos', total='580', hp='90', attack='90', defence='85', spAtk='12', spDef=' 9', speed=' 100', type='Electric Flying'}
POJO.Pokemon{id=145, name='Zapdos', total='580', hp='90', attack='12', defence=' 9', spAtk=' 8', spDef=' 9', speed=' 100', type='Fighting Flying'}
POJO.Pokemon{id=146, name='Moltres', total='580', hp='90', attack='10', defence=' 9', spAtk=' 1', spDef='5 ', speed='5 90', type='Fire Flying'}
POJO.Pokemon{id=146, name='Moltres', total='580', hp='90', attack='85', defence='90', spAtk='10', spDef=' 1', speed='5 90', type='Dark Flying'}
POJO.Pokemon{id=147, name='Dratini', total='300', hp='41', attack='64', defence='45', spAtk='50', spDef='50', speed='50', type='Dragon'}
POJO.Pokemon{id=148, name='Dragonair', total='420', hp='61', attack='84', defence='65', spAtk='70', spDef='70', speed='70', type='Dragon'}
POJO.Pokemon{id=149, name='Dragonite', total='600', hp='91', attack='13', defence=' 9', spAtk=' 1', spDef='0 ', speed='00 80', type='Dragon Flying'}
POJO.Pokemon{id=150, name='Mewtwo', total='680', hp='10', attack=' 1', defence='0 ', spAtk='0 ', spDef='54', speed='90 130', type='Psychic'}
